result,dirname,id,depth,hidden_dim,kappa,batch_size,num_epochs,learning_rate
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00026,hpset_00026,1,300,0.100000,50,50,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00027,hpset_00027,1,300,0.100000,50,100,0.000500
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00028,hpset_00028,1,300,0.100000,50,100,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00031,hpset_00031,1,300,0.100000,100,100,0.000500
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00032,hpset_00032,1,300,0.100000,100,100,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00036,hpset_00036,1,300,0.100000,200,100,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00038,hpset_00038,1,300,1.000000,50,50,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00039,hpset_00039,1,300,1.000000,50,100,0.000500
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00040,hpset_00040,1,300,1.000000,50,100,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00043,hpset_00043,1,300,1.000000,100,100,0.000500
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00044,hpset_00044,1,300,1.000000,100,100,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00048,hpset_00048,1,300,1.000000,200,100,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00074,hpset_00074,2,300,0.100000,50,50,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00075,hpset_00075,2,300,0.100000,50,100,0.000500
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00076,hpset_00076,2,300,0.100000,50,100,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00079,hpset_00079,2,300,0.100000,100,100,0.000500
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00080,hpset_00080,2,300,0.100000,100,100,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00084,hpset_00084,2,300,0.100000,200,100,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00086,hpset_00086,2,300,1.000000,50,50,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00087,hpset_00087,2,300,1.000000,50,100,0.000500
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00088,hpset_00088,2,300,1.000000,50,100,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00091,hpset_00091,2,300,1.000000,100,100,0.000500
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00092,hpset_00092,2,300,1.000000,100,100,0.001000
000.868,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00096,hpset_00096,2,300,1.000000,200,100,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00002,hpset_00002,1,100,0.100000,50,50,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00003,hpset_00003,1,100,0.100000,50,100,0.000500
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00004,hpset_00004,1,100,0.100000,50,100,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00006,hpset_00006,1,100,0.100000,100,50,0.001000
000.869,/home/weismanal/notebook/2021-08-23/tybalt_with_candle2/last-candle-job/run/hpset_00007,hpset_00007,1,100,0.100000,100,100,0.000500
